id,title,url,transcript_path,has_transcript,source,error
eYViePMalJE,The Universe Has Been Expanding Since the Big Bang. Just Not How We Thought.,https://www.youtube.com/watch?v=eYViePMalJE,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/pbsspacetime/transcripts/eYViePMalJE.txt,True,yt-dlp,
7Wiw42ZlBKs,The Quantum Experiment That Breaks Time,https://www.youtube.com/watch?v=7Wiw42ZlBKs,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/pbsspacetime/transcripts/7Wiw42ZlBKs.txt,True,yt-dlp,
x4TdColoIu8,We Thought Black Holes Created Event Horizons. It Might Be the Opposite,https://www.youtube.com/watch?v=x4TdColoIu8,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/pbsspacetime/transcripts/x4TdColoIu8.txt,True,yt-dlp,
4OM0zTfdsPo,We’ve Been Searching for Aliens the Wrong Way. That’s All About To Change. . .,https://www.youtube.com/watch?v=4OM0zTfdsPo,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/pbsspacetime/transcripts/4OM0zTfdsPo.txt,True,yt-dlp,
Wu8xNx4njoM,We Thought Black Holes Ended in Singularities. They Might End In a Frozen Big Bang.,https://www.youtube.com/watch?v=Wu8xNx4njoM,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/pbsspacetime/transcripts/Wu8xNx4njoM.txt,True,yt-dlp,
FMdrD_jcYgE,We Found Galaxies Too Old for the Universe,https://www.youtube.com/watch?v=FMdrD_jcYgE,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/pbsspacetime/transcripts/FMdrD_jcYgE.txt,True,yt-dlp,
qQmfXVE6W-I,Earth’s Core Should Be Impossible. A New State of Matter Explains It.,https://www.youtube.com/watch?v=qQmfXVE6W-I,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/pbsspacetime/transcripts/qQmfXVE6W-I.txt,True,yt-dlp,
dZaqLgezRNE,Something Disturbing Happens When You Solve Einstein's Equations This Way,https://www.youtube.com/watch?v=dZaqLgezRNE,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/pbsspacetime/transcripts/dZaqLgezRNE.txt,True,yt-dlp,
O5FqozA4IpA,Martian Soil Is Deadly. And That's Why It Might Support Life.,https://www.youtube.com/watch?v=O5FqozA4IpA,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/pbsspacetime/transcripts/O5FqozA4IpA.txt,True,yt-dlp,
zaJRfVRe-Vg,Most of Reality Is Invisible. We May Finally Be About to Reveal It.,https://www.youtube.com/watch?v=zaJRfVRe-Vg,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/pbsspacetime/transcripts/zaJRfVRe-Vg.txt,True,yt-dlp,
