id,title,url,transcript_path,has_transcript,source,error
sYdXa_yp0fc,Strings Don't Vibrate The Way You Think,https://www.youtube.com/watch?v=sYdXa_yp0fc,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/minutephysics/transcripts/sYdXa_yp0fc.txt,True,yt-dlp,
R2G8Xy6hiyg,This Orbit is the WORST,https://www.youtube.com/watch?v=R2G8Xy6hiyg,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/minutephysics/transcripts/R2G8Xy6hiyg.txt,True,yt-dlp,
dLtRtdg67PU,Two Paradoxes of Space Navigation,https://www.youtube.com/watch?v=dLtRtdg67PU,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/minutephysics/transcripts/dLtRtdg67PU.txt,True,yt-dlp,
PTO0s8YQ49o,The Magic of Thorium Nuclear Reactors,https://www.youtube.com/watch?v=PTO0s8YQ49o,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/minutephysics/transcripts/PTO0s8YQ49o.txt,True,yt-dlp,
8wDha-G35KA,Is Perfect Prediction Possible?,https://www.youtube.com/watch?v=8wDha-G35KA,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/minutephysics/transcripts/8wDha-G35KA.txt,True,yt-dlp,
ZWSvHBG7X0w,Do *you* understand ISO?,https://www.youtube.com/watch?v=ZWSvHBG7X0w,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/minutephysics/transcripts/ZWSvHBG7X0w.txt,True,yt-dlp,
lZGyjR6Y9vw,Is Quantum Mechanics Stopping Aliens From Contacting Us?,https://www.youtube.com/watch?v=lZGyjR6Y9vw,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/minutephysics/transcripts/lZGyjR6Y9vw.txt,True,yt-dlp,
kzfXBenNxeA,The REAL Reason Asteroids Aren't Planets,https://www.youtube.com/watch?v=kzfXBenNxeA,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/minutephysics/transcripts/kzfXBenNxeA.txt,True,yt-dlp,
xgFKxFX3IwY,An Argument The Moon is a PLANET!,https://www.youtube.com/watch?v=xgFKxFX3IwY,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/minutephysics/transcripts/xgFKxFX3IwY.txt,True,yt-dlp,
_DYZF-piKKU,The TROJAN Test,https://www.youtube.com/watch?v=_DYZF-piKKU,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/minutephysics/transcripts/_DYZF-piKKU.txt,True,yt-dlp,
OEQeSrXy-YA,Why Some Rainbows Turn White,https://www.youtube.com/watch?v=OEQeSrXy-YA,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/minutephysics/transcripts/OEQeSrXy-YA.txt,True,yt-dlp,
yY7ZUIbWTyc,Common Moon Mistakes,https://www.youtube.com/watch?v=yY7ZUIbWTyc,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/minutephysics/transcripts/yY7ZUIbWTyc.txt,True,yt-dlp,
pgqkti7yePk,Why Do Wind Turbines Have Three Blades?,https://www.youtube.com/watch?v=pgqkti7yePk,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/minutephysics/transcripts/pgqkti7yePk.txt,True,yt-dlp,
